Time	Car	Home	Restaurant	Campus
0000	0	99	0	0
0030	0	99	0	0
0100	0	99	0	0
0130	0	99	0	0
0200	0	99	0	0
0230	0	99	0	0
0300	0	99	0	0
0330	0	99	0	0	
0400	0	99	0	0	
0430	0	99	0	0
0500	0	99	0	0
0530	0	99	0	0
0600	0	99	0	0
0630	0	35	0	0
0700	0	25	0	0
0730	0	75	0	0
0800	80	0	0	0
0830	85	0	0	0
0900	0	0	0	80
0930	0	0	0	50
1000	0	0	0	90
1030	0	0	0	60
1100	0	0	0	80
1130	0	0	0	90	
1200	0	0	0	30
1230	0	0	0	45
1300	0	0	0	50
1330	0	0	0	35
1400	0	0	99	0
1430	0	0	0	99
1500	0	0	0	85
1530	99	0	0	0
1600	75	0	0	0
1630	0	80	0	0
1700	0	99	0	0
1730	0	75	0	0
1800	50	0	0	0
1830	0	0	50	0
1900	0	0	99	0
1930	0	0	75	0
2000	99	0	0	0
2030	0	99	0	0
2100	0	75	0	0
2130	0	40	0	0
2200	0	80	0	0
2230	0	15	0	0
2300	0	35	0	0
2330	0	90	0	0